,"Min_cell","Max_cell","Mean_cell","1 pour sélectionner/ 0 pour non"
"PDK4",0,26,0.295484792872053,
"CCL26",0,9,0.043176755719309,
"CX3CL1",0,62,0.350695563245121,
"CD4",0,19,0.121741079558986,
"SNAI2",0,15,0.235875092811813,
"TNFRSF17",0,8,0.092755775346381,
"ICAM3",0,21,0.152407503397263,
"TBX21",0,7,0.042224121264762,
"FAP",0,6,0.058054664406495,
"NFKB2",0,35,1.17326739608579,
"LAG3",0,5,0.039758479147112,
"TGFBR3",0,21,0.324526134405514,
"MMP11",0,306,1.58207366105826,
"XBP1",0,172,1.63393620151021,
"IL2RB",0,39,0.123268096552304,
"GZMH",0,10,0.022288844370351,
"GZMB",0,40,0.038329527465292,
"NFKBIA",0,61,1.3158543590031,
"MMP2",0,8,0.174234039870554,
"CCL22",0,73,0.037362883680531,
"TGFB1",0,28,0.699149633656015,
"CD79A",0,82,0.045306173911825,
"NKG7",0,20,0.057564337849008,
"HGF",0,33,0.244883092139365,
"SERPINE1",0,236,0.75634972891946,
"ACTA2",0,223,1.8624423866295,
"MPO",0,4,0.04453566075006,
"CSF3",0,4,0.052731118925204,
"WNT3",0,5,0.073422899651168,
"CCL2",0,40,0.236533531331867,
"CCL1",0,3,0.028060688418487,
"COL1A1",0,661,16.9994956641123,
"NFKB1",0,23,0.761715302391393,
"CCND1",0,121,2.82292206609602,
"IL23A",0,13,0.131687704010871,
"CDKN1B",0,21,0.66638181028565,
"IFNG",0,7,0.025202785054847,
"KLRB1",0,12,0.038133396842297,
"LOX",0,7,0.061921239545537,
"IL12B",0,3,0.035569689413149,
"SELL",0,4,0.055911236883765,
"TGFB3",0,65,0.465978341575489,
"DUSP1",0,93,5.23408189854443,
"EGR1",0,119,1.00196130622995,
"KLRK1",0,9,0.053795828021462,
"TNFSF10",0,62,1.76436306580182,
"CXCR4",0,71,0.404155167341449,
"TWIST1",0,11,0.103150698365111,
"LRP1",0,105,4.76220562894888,
"SNAI1",0,21,0.238859080147378,
"CEACAM8",0,3,0.018015998655104,
"CDKN1A",0,277,2.70549586024292,
"SOX9",0,79,3.32533867555792,
"TNFSF9",0,16,0.120872501085723,
"CD70",0,21,0.197055238789033,
"FFAR2",0,4,0.015508328546812,
"CCR7",0,37,0.278757652596629,
"SMO",0,15,0.65084546307841,
"RAF1",0,10,0.62913100124683,
"PLVAP",0,148,0.383589470587411,
"BST2",0,88,7.50369145851137,
"LGR6",0,30,1.50894495734159,
"CCNB1",0,40,0.109496924952018,
"PDGFRA",0,47,1.33604180384136,
"APC",0,11,0.343172552920245,
"TBX3",0,40,0.736218321402054,
"CDK4",0,19,1.45866547120382,
"IL6",0,22,0.044059343522786,
"BLK",0,5,0.023381572127037,
"FGFBP2",0,4,0.051007971308892,
"TLR2",0,15,0.182527563357196,
"MMP7",0,205,3.01541026323531,
"LYZ",0,112,0.265967134111318,
"LRP6",0,6,0.36383631498578,
"VWF",0,218,0.548535324526134,
"PROX1",0,14,0.280214622938877,
"CDH1",0,124,2.83170591614015,
"PDGFRB",0,78,0.476905619142349,
"FLT4",0,16,0.083565654726048,
"CREBBP",0,19,1.953110771774,
"IL1B",0,32,0.054019977304885,
"BRD4",0,25,2.03244560877544,
"ELANE",0,4,0.040641066950589,
"EPCAM",0,75,2.38022723133607,
"AKT3",0,11,0.463330578165058,
"KDR",0,41,0.137907846625853,
"PIK3CA",0,6,0.258584217088581,
"LAMC2",0,203,1.70548185091271,
"MCM6",0,19,0.421526736806713,
"FGF2",0,5,0.071909891988064,
"STAT3",0,39,1.19230607584651,
"ICAM1",0,82,0.47344531457951,
"PPARGC1A",0,3,0.026995979322229,
"CXCL9",0,6,0.024334206581583,
"MCM2",0,16,0.40447738193637,
"MSH3",0,10,0.586710749359073,
"EGF",0,3,0.03535954945994,
"STAP1",0,5,0.03257169274737,
"LAMP3",0,49,0.069332175228702,
"CDK6",0,28,0.907552429918326,
"PMS2",0,8,0.237682296409409,
"KLRG1",0,5,0.07261035849876,
"LGR5",0,91,1.44597301803001,
"CDK2",0,12,0.516397921015396,
"RB1",0,11,0.355991090065984,
"ITGAX",0,78,0.116725739342402,
"TP53",0,16,1.00570179739707,
"IFNAR1",0,9,0.438576091677057,
"FCGR2A",0,17,0.17050755803365,
"ACKR3",0,23,0.247993163446856,
"FABP2",0,5,0.114372171866463,
"SFRP2",0,93,0.731441139799106,
"GZMA",0,105,0.082711085582998,
"EGFR",0,31,0.60852327650215,
"DUSP6",0,8,0.192460178478867,
"TNFSF4",0,8,0.048962609097659,
"YAP1",0,52,3.5706420476037,
"ITGA1",0,23,0.292780992140766,
"WNT3A",0,6,0.084924559756798,
"FZD7",0,12,0.241478824897382,
"CSF1R",0,48,0.452823580504616,
"KIT",0,89,0.134279430100447,
"PREX2",0,18,0.713088917218868,
"SLC13A3",0,7,0.101511606730082,
"TNFRSF13C",0,11,0.073619030274163,
"CCR5",0,9,0.034014653759404,
"MAML1",0,11,1.05502864908029,
"ITGA5",0,15,0.22375702217677,
"CXCL16",0,18,0.361678878132836,
"LRP5",0,13,0.874560457264538,
"CXCR1",0,6,0.025048682422493,
"CCR1",0,17,0.123029937938667,
"CSF2",0,9,0.067258794357042,
"PLK1",0,41,0.139757078214091,
"STAT6",0,46,2.50209439486698,
"CD3D",0,8,0.055028649080288,
"CD14",0,88,0.763970804555834,
"MZB1",0,87,0.068939913982713,
"ITGB1",0,122,3.83033300177919,
"JUNB",0,67,2.78658186352111,
"CEBPB",0,46,2.380157184685,
"FOS",0,200,4.97765511830879,
"CXCR6",0,12,0.063714433812919,
"IRS1",0,20,1.20663762065536,
"ESCO2",0,3,0.038945937994705,
"CCL11",0,3,0.032207450161808,
"BMP1",0,28,1.99118813129544,
"TMEM37",0,48,0.265911096790462,
"CXCL10",0,20,0.052871212227343,
"CXCL11",0,4,0.032683767389081,
"IGF1",0,5,0.046258808366372,
"CXCL8",0,20,0.047589694736695,
"BCL2L1",0,96,3.11668371135176,
"HAVCR2",0,11,0.162003894593799,
"CTSW",0,20,0.053193426822264,
"TLR1",0,5,0.080497611409199,
"XCR1",0,24,0.035779829366358,
"VEGFB",0,18,0.768621902186856,
"HRAS",0,14,0.590157044591698,
"CD248",0,41,0.160252728317059,
"KRAS",0,9,0.295891063448257,
"FOSL1",0,11,0.140373488743503,
"NOS2",0,4,0.027276165926507,
"MMP1",0,52,0.048598366512097,
"CD209",0,17,0.076406886986733,
"NCAM1",0,31,0.661394488729494,
"ZBED2",0,46,0.604866841316317,
"DERL3",0,52,0.088763116235413,
"RORC",0,16,0.511788851375016,
"CD276",0,25,0.761967470335243,
"CXCR2",0,5,0.026435606113672,
"ZEB1",0,16,0.330255950463008,
"HIF1A",0,31,2.16882643840798,
"ANGPT2",0,47,0.121937210181981,
"SOX2",0,36,0.257155265406761,
"CCR8",0,11,0.059833849343663,
"KIR3DL2",0,3,0.02671579271795,
"MARCO",0,87,0.078200081254115,
"FBLN1",0,39,0.676972863927376,
"IFITM1",0,13,0.829198246031857,
"CSF1",0,53,0.887336966419635,
"EPHB3",0,14,0.503565374539443,
"CD86",0,7,0.051694428489374,
"STING1",0,38,1.14508062369538,
"SOCS3",0,64,1.62606295792998,
"CCR4",0,12,0.062971939311582,
"IL3RA",0,14,0.045978621762094,
"PDGFB",0,53,0.42351606169709,
"ASCL2",0,13,0.199100601000266,
"TBK1",0,13,0.419075104019277,
"PTGDR2",0,5,0.01767977472997,
"IL1R2",0,9,0.070901220212662,
"BCL2",0,10,0.230033202112607,
"PDCD1",0,8,0.036830529132402,
"PKM",0,394,22.5254619576638,
"CA7",0,3,0.037867219568233,
"SLC26A3",0,4,0.071909891988064,
"TNC",0,33,0.295106540956277,
"CAV1",0,33,0.69959793222286,
"ATF3",0,78,0.452095095333492,
"INSR",0,84,2.17555091691066,
"CCR6",0,3,0.026967960661801,
"CLEC14A",0,45,0.131197377453384,
"JAK1",0,36,1.33384233899777,
"HLA-DQA1",0,7,0.069668399153837,
"E2F1",0,15,0.153192025889242,
"IDH1",0,46,0.891259578879534,
"BAX",0,26,1.14407195191998,
"GATA3",0,14,0.057970608425211,
"DDIT3",0,16,0.318852355668875,
"CDCA7",0,8,0.058867205558902,
"CD5",0,11,0.038091368851655,
"KLRC1",0,5,0.029489640100307,
"PTPRC",0,12,0.101889858645858,
"CTNNB1",0,98,7.10219806391056,
"BIRC5",0,20,0.055813171572267,
"ATR",0,11,0.367800955436321,
"EZH2",0,19,0.247180622294448,
"CD8A",0,26,0.104481584735434,
"BRCA1",0,10,0.104103332819658,
"PROK2",0,3,0.029867892016083,
"COL11A1",0,11,0.043246802370379,
"TAP1",0,12,0.181070593014948,
"PKIB",0,6,0.026855886020089,
"TP63",0,18,0.110729746010843,
"LAMB3",0,185,1.2968436979028,
"IRF5",0,6,0.027164091284796,
"CCNE1",0,4,0.058292823020131,
"NF1",0,15,0.963757862736582,
"EPHA2",0,57,1.61478544710777,
"TGFBR2",0,42,1.12877376332638,
"KIR2DL4",0,7,0.03353833653213,
"FGF1",0,5,0.038917919334277,
"MFAP5",0,5,0.045474285874392,
"FOXM1",0,14,0.065101357504098,
"HLA-DRB1",0,16,0.495888261582214,
"TLR9",0,5,0.049480954315574,
"STAT1",0,7,0.224975833905381,
"CCL28",0,19,0.054552331853014,
"MUC2",0,74,0.190905142825122,
"SOD2",0,150,2.43337863016769,
"CR2",0,3,0.041971953320912,
"PTGS2",0,56,0.208038553676749,
"FASLG",0,4,0.023955954665808,
"IFNGR1",0,20,0.784214286714952,
"XCL1",0,3,0.014947955338255,
"SH2D1B",0,8,0.034827194911811,
"ADAMTS4",0,25,0.058783149577619,
"CD244",0,6,0.058713102926549,
"ARG1",0,4,0.043555007635085,
"FCER1A",0,20,0.060576343845001,
"CD1E",0,8,0.039968619100321,
"CD1B",0,5,0.020705790056178,
"FCRL5",0,36,0.044479623429204,
"LMNA",0,31,1.58812569171068,
"IL6R",0,14,0.177274064526975,
"MKI67",0,40,0.120214062565669,
"S100A9",0,85,0.270085877194211,
"CD2",0,26,0.062019304857035,
"NRAS",0,14,0.3939423656155,
"VCAM1",0,48,0.277861055462938,
"CD40LG",0,8,0.035737801375716,
"JUN",0,193,4.90049172749051,
"AURKA",0,22,0.069626371163195,
"COL5A1",0,143,2.61876409688853,
"PTEN",0,8,0.34147742396436,
"MMRN2",0,43,0.210742354408036,
"VEGFA",0,203,3.7280088538967,
"CD40",0,14,0.441027724464493,
"MMP9",0,257,0.119135344139197,
"TREM2",0,25,0.123534273826368,
"MAFB",0,29,0.288564183746375,
"HDAC1",0,32,2.3157562936916,
"CXCR3",0,11,0.030232134601645,
"DES",0,4,0.034673092279458,
"DKK1",0,9,0.067174738375758,
"BAK1",0,9,0.406690856110169,
"CD28",0,5,0.027472296549502,
"C1QC",0,122,0.821927403650832,
"HLA-DMA",0,20,1.05117608327146,
"NRP1",0,37,1.22543814180244,
"TAP2",0,30,0.487832896709208,
"TGFBR1",0,13,0.454714840083496,
"PLA2G2A",0,91,0.091270786343705,
"COL4A1",0,240,1.6050489626091,
"NCR3",0,5,0.023899917344952,
"HLA-C",0,34,0.70727504518009,
"BMI1",0,9,0.426542077023298,
"MTOR",0,4,0.08489654109637,
"THBD",0,29,0.095389529426598,
"SPRY2",0,24,1.47802636555946,
"MYC",0,75,2.82334234600244,
"CA9",0,27,0.566495285860383,
"KITLG",0,8,0.083355514772839,
"CYBB",0,76,0.378546111710399,
"PCNA",0,21,0.509547358540788,
"CD83",0,41,0.242669617965565,
"TNFRSF4",0,9,0.062355528782169,
"TNFRSF18",0,15,0.352754934786568,
"LDHA",0,28,0.669603956234852,
"TEK",0,9,0.04057102029952,
"IFNB1",0,3,0.027206119275438,
"DNMT3A",0,9,0.493310544822852,
"IRF4",0,60,0.035317521469299,
"CD274",0,7,0.048920581107017,
"IFNGR2",0,16,1.0224429470027,
"MSR1",0,10,0.035177428167159,
"IFNAR2",0,11,0.328812989450974,
"TIGIT",0,14,0.026099382188538,
"GPX3",0,89,0.512755495159776,
"CD8B",0,4,0.073408890320954,
"IL4I1",0,73,0.661156330115857,
"AKT2",0,8,0.462041719785377,
"STAT4",0,7,0.081338171222034,
"CD79B",0,10,0.024110057298161,
"POU2AF1",0,37,0.081114021938611,
"CCL8",0,6,0.034434933665822,
"CCL7",0,2,0.027486305879716,
"CLCA1",0,5,0.042182093274121,
"MMRN1",0,87,0.126196046567014,
"SPP1",0,801,2.81321360025777,
"HLA-DRA",0,148,4.73044647735392,
"LGALS9",0,25,0.869405023745815,
"CXCL1",0,51,0.35169022569031,
"CXCL12",0,12,0.150796430422662,
"MYBL2",0,26,0.093638363149858,
"ITGA4",0,14,0.090402207870442,
"NFE2L2",0,42,1.70947451002368,
"TEAD4",0,9,0.409842955408302,
"PDCD1LG2",0,6,0.055126714391785,
"MET",0,37,0.89742368417366,
"ITGB2",0,72,0.603395861643855,
"SHARPIN",0,14,0.792816015466301,
"CX3CR1",0,23,0.112046623050952,
"CCR2",0,12,0.037671088945238,
"PDGFA",0,16,0.209845757274345,
"ROS1",0,5,0.038819854022779,
"CEACAM1",0,8,0.057158067272804,
"TSC1",0,8,0.306299995797201,
"CHEK2",0,6,0.175747047533657,
"RELA",0,23,1.47641529258486,
"ICOSLG",0,8,0.118042616382511,
"AKT1",0,25,2.22999117412197,
"CD207",0,101,0.073436908981382,
"PDK1",0,61,0.367212563567336,
"FGFR3",0,38,0.451100432888304,
"HLA-B",0,69,1.07092923887309,
"CMKLR1",0,10,0.113363500091061,
"PRKCA",0,12,0.347165212031213,
"PPARD",0,14,0.584693405808268,
"HLA-DPA1",0,11,0.145332791639232,
"SIGLEC1",0,9,0.11714601924882,
"AMOTL2",0,23,1.55556800829352,
"FGFR1",0,36,1.13776775332371,
"TRAT1",0,7,0.02210672307757,
"SELP",0,31,0.190723021532341,
"CTLA4",0,7,0.044703772712627,
"IKZF4",0,3,0.076280803014808,
"TAPBP",0,40,2.09393255908435,
"MLH1",0,10,0.54923579103683,
"ICOS",0,3,0.016825205586921,
"NEDD4",0,6,0.129810453762206,
"FCGR3A",0,76,0.315784312352026,
"CHEK1",0,6,0.065829842675222,
"CD1C",0,25,0.055378882335636,
